year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regioname,incomegroupcode,incomegroupname,flowname,bi_multi,finance_t,aid_t,usd_commitment,usd_disbursement,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,numberrepayment,grantelement,openaid id
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1986865170,86017,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,266,119,0.000000000000,0.024363410000,918,0.000000000000,0.018360132000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31376
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1986866170,86017,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,267,119,0.000000000000,0.000661790000,918,0.000000000000,0.000497442000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31377
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1988885370,88037,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,266,119,0.000000000000,0.500002270000,918,0.000000000000,0.376850000000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31378
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1988885550,88055,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,266,119,0.000000000000,0.681231450000,918,0.000000000000,0.513443051000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31380
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1988886370,88037,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,267,119,0.000000000000,0.003750010000,918,0.000000000000,0.002826375000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31379
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1988886550,88055,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,267,119,0.000000000000,0.010218480000,918,0.000000000000,0.007702814000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31381
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1989895350,89035,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,266,119,0.000000000000,4.282499460000,918,0.000000000000,3.227720250000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31382
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1989896101,89010,0,139,Tunisia,10002,North of Sahara,10019,UMIC,Official Development Assistance,1,267,119,0.000000000000,0.031689420000,918,0.000000000000,0.023884753000,,Swap Bilateral Agreement signed on 04/01/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31372
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1989896350,89035,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,267,119,0.000000000000,0.064237630000,918,0.000000000000,0.048417688000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31383
2014,6,Italy,9,Ministero dell'Economia e delle Finanze - Artigiancassa,1990905270,90027,0,142,Egypt,10002,North of Sahara,10018,LMIC,Official Development Assistance,1,266,119,0.000000000000,0.405005760000,918,0.000000000000,0.305256037000,,Swap Bilateral Agreement signed on 03/06/2007 - Tranche,60062,Other debt swap,600,Action relating to debt,12000,Recipient Government,,Africa (North of Sahara),,,,,,,,0,0,0,,,,,,,,31384
